"mex.t"	"mex.male"	"mex.age"	"mex.education"	"mex.y.all"	"mex.vote"	"mex.age2"	"mex.interest"	"mex.married"	"mex.pidpanw2"	"mex.pidprdw2"	"mex.pidpriw2"	"mex.votecard"	"mex.urban"	"mex.cleanelections"	"mex.metro"	"mex.centralregion"	"mex.northregion"	"mex.wealth"	"mex.epnapprove"	"mex.havepropoganda"	"mex.concurrent"	"mex.cleanelectionsmiss"	"mex.loyal"	"mex.direct"
"250"	1	0	3.7	5	1	1	13.69	2	1	0	0	1	1	1	3	0	1	0	-0.416981279850006	4	0	0	0	0	0
"251"	0	1	1.9	7	1	1	3.61	3	0	0	1	0	1	1	3	0	1	0	1.57204031944275	5	0	0	0	0	0
"252"	1	1	7.1	2	1	1	50.41	2	1	0	1	0	1	1	3	0	1	0	-0.416981279850006	5	0	0	0	0	0
"253"	0	1	5.3	3	1	1	28.09	2	1	0	0	1	1	1	3	0	1	0	0.481876999139786	8	0	0	0	0	0
"254"	1	1	3.7	5	1	1	13.69	1	1	1	0	0	1	1	3	0	1	0	-2.19520616531372	1	0	0	0	0	0
"255"	0	1	2.6	5	1	1	6.76	3	1	0	1	0	1	1	3	0	1	0	1.57204031944275	6	0	0	0	0	0
"256"	1	1	3.1	2	1	1	9.61	3	0	0	1	0	1	1	3	0	1	0	-0.416981279850006	10	0	0	0	0	0
"257"	1	0	7.6	3	2	1	57.76	2	0	0	0	1	1	1	0	0	1	0	-1.24018979072571	11	0	0	1	0	0
"258"	0	1	5	5	1	1	25	2	1	0	0	1	1	1	0	0	1	0	-1.24018979072571	8	0	0	1	1	0
"259"	1	0	5.5	3	2	1	30.25	1	1	1	0	0	1	0	3	0	1	0	0.748831808567047	6	1	0	0	0	0
"260"	0	0	7	3	1	1	49	3	0	1	0	0	1	0	3	0	1	0	0.481876999139786	9	0	0	0	1	0
"261"	1	1	4.4	7	1	1	19.36	3	0	0	1	0	1	0	4	0	1	0	0.481876999139786	9	0	0	0	0	0
"263"	1	0	4.9	5	1	0	24.01	1	1	0	0	0	0	0	4	0	1	0	1.57204031944275	3	0	0	0	0	0
"264"	0	1	5.4	5	3	1	29.16	2	0	0	0	1	1	0	1	0	1	0	-0.416981279850006	11	0	0	0	0	0
"265"	1	0	3.9	5	2	0	15.21	1	0	1	0	0	0	0	4	0	1	0	-0.416981279850006	8	0	0	0	0	0
"266"	0	1	2.6	9	3	1	6.76	3	0	0	0	1	1	0	2	0	1	0	1.57204031944275	9	0	0	0	0	0
"267"	1	0	2.6	5	3	1	6.76	2	0	1	0	0	1	0	2	0	1	0	-0.341331571340561	1	0	0	0	0	0
"268"	0	0	2.2	5	1	1	4.84	1	0	0	0	1	1	0	1	0	1	0	-0.416981279850006	11	0	0	0	1	0
"269"	0	1	6	2	1	0	36	1	1	0	0	0	0	0	3	0	1	0	-1.24018979072571	6	0	0	0	0	0
"270"	1	1	2.9	7	3	1	8.41	3	0	1	0	0	1	0	2	0	1	0	0.481876999139786	9	0	0	0	0	0
"271"	0	1	3.8	5	3	1	14.44	3	0	1	0	0	1	0	4	0	1	0	1.57204031944275	4	0	0	0	1	1
"272"	0	1	4.6	7	1	1	21.16	3	0	0	0	1	1	1	1	0	1	0	-0.416981279850006	10	0	1	0	0	0
"273"	1	0	2.7	9	1	1	7.29	2	1	0	0	1	1	1	1	0	1	0	0.684655368328094	11	0	1	0	1	0
"274"	0	0	5.1	2	1	1	26.01	2	1	0	0	1	1	1	1	0	1	0	-0.416981279850006	11	0	1	0	1	0
"275"	1	0	3.9	5	2	1	15.21	3	1	0	0	1	1	1	2	0	1	0	-0.473139226436615	11	0	1	0	1	0
"276"	0	1	5.2	3	2	0	27.04	2	0	1	0	0	0	1	1	0	1	0	-1.24018979072571	7	0	1	0	1	0
"277"	1	0	3.8	5	1	1	14.44	2	1	1	0	0	1	1	1	0	1	0	-2.19520616531372	9	0	1	0	1	0
"278"	0	1	6.2	3	1	1	38.44	2	1	1	0	0	1	1	2	0	1	0	-1.3708108663559	7	0	1	0	1	0
"279"	1	1	6.7	1	2	1	44.89	3	1	1	0	0	1	1	2	0	1	0	1.58351361751556	6	0	1	0	1	0
"280"	0	0	4.1	3	1	1	16.81	2	1	1	0	0	1	1	1	0	1	0	1.57204031944275	9	0	1	0	1	0
"281"	1	0	3.5	5	2	1	12.25	2	1	1	0	0	1	1	1	0	1	0	-0.416981279850006	9	0	1	0	1	0
"282"	0	0	2	3	2	1	4	2	1	0	0	1	1	1	1	0	1	0	-2.19520616531372	11	0	1	0	1	0
"283"	1	1	2.2	5	1	1	4.84	2	0	0	0	1	1	1	1	0	1	0	0.481876999139786	11	0	1	0	1	0
"284"	0	0	3.7	3	2	1	13.69	3	1	1	0	0	1	1	2	0	1	0	0.481876999139786	3	0	1	0	1	0
"285"	1	1	2.7	3	2	1	7.29	2	1	0	0	1	1	1	2	0	1	0	-1.24018979072571	11	0	1	0	1	0
"286"	0	0	3.6	5	3	1	12.96	2	1	1	0	0	1	1	1	0	1	0	-0.416981279850006	8	0	1	0	1	1
"287"	1	0	3.9	5	1	1	15.21	2	1	1	0	0	1	1	1	0	1	0	-1.24018979072571	9	0	1	0	1	0
"288"	0	1	5.2	3	2	1	27.04	3	1	1	0	0	0	1	1	0	1	0	-0.416981279850006	9	0	1	0	1	0
"290"	0	1	2.9	5	0	0	8.41	2	0	0	0	0	0	1	4	0	1	0	0.684655368328094	8	0	1	0	0	0
"291"	1	0	5.2	2	3	0	27.04	2	0	0	0	1	0	1	1	0	1	0	-1.37199747562408	11	0	1	0	1	0
"293"	0	0	4.9	5	3	1	24.01	2	0	0	0	0	1	1	1	0	1	0	0.481876999139786	10	0	1	0	0	0
"294"	1	1	2.4	7	2	0	5.76	1	1	0	0	0	0	1	2	0	1	0	1.57204031944275	6	0	1	0	0	0
"295"	0	0	1.8	8	3	0	3.24	2	0	0	0	0	0	1	4	0	1	0	1.77481877803802	9	0	1	0	0	0
"297"	0	0	1.8	3	2	1	3.24	2	0	0	0	1	1	1	1	0	1	0	-0.416981279850006	11	0	1	0	1	0
"298"	1	1	6.8	9	1	1	46.24	2	1	0	0	1	1	1	2	0	1	0	2.67367696762085	9	0	1	0	0	0
"300"	1	0	5.6	3	1	0	31.36	2	0	1	0	0	0	1	0	0	1	0	-1.37199747562408	6	0	1	1	1	0
"302"	1	0	3	1	2	1	9	3	1	0	0	1	1	1	1	0	1	0	-1.24018979072571	10	0	1	0	1	0
"303"	0	0	3.5	5	1	1	12.25	2	1	0	0	0	1	1	1	0	1	0	0.971940279006958	9	0	1	0	0	1
"305"	1	0	3.5	5	3	1	12.25	3	1	1	0	0	1	0	4	0	1	0	-1.24018979072571	9	1	1	0	1	0
"306"	0	0	6	2	3	1	36	2	0	1	0	0	1	0	1	0	1	0	-1.24018979072571	9	0	1	0	1	0
"307"	1	0	5.8	3	1	1	33.64	1	1	1	0	0	1	0	1	0	1	0	-1.37199747562408	7	0	1	0	0	0
"308"	0	0	3.6	3	2	1	12.96	2	1	1	0	0	1	1	1	0	1	0	-0.416981279850006	6	0	1	0	1	0
"309"	1	0	4.1	2	2	1	16.81	2	1	0	0	1	1	0	1	0	1	0	-0.341331571340561	10	0	1	0	1	0
"310"	0	1	2.4	9	2	1	5.76	3	0	0	1	0	1	0	4	0	1	0	1.57204031944275	8	0	1	0	1	0
"311"	1	0	4.7	5	2	1	22.09	4	1	0	0	1	0	0	1	0	1	0	-1.37199747562408	11	1	1	0	1	0
"312"	1	0	4.7	2	1	1	22.09	1	1	0	0	1	1	0	2	0	1	0	-1.37199747562408	8	1	1	0	0	0
"313"	0	1	4.9	4	2	0	24.01	3	1	0	0	1	0	0	1	0	1	0	-0.341331571340561	9	0	1	0	1	0
"314"	1	0	3	3	3	1	9	3	1	1	0	0	0	0	4	0	1	0	-2.19520616531372	6	0	1	0	1	0
"315"	0	1	2.4	3	1	1	5.76	3	1	0	0	0	1	0	3	0	1	0	-0.150026470422745	5	0	1	0	0	0
"316"	1	1	2.2	2	1	0	4.84	3	0	0	0	0	0	0	4	0	1	0	-1.37199747562408	9	0	1	0	0	0
"317"	0	0	1.9	5	1	1	3.61	2	0	0	0	1	1	0	1	0	1	0	-1.24018979072571	10	0	1	0	0	0
"318"	1	1	2.9	2	2	1	8.41	2	1	0	0	1	1	1	2	0	1	0	-2.19520616531372	6	0	1	0	0	0
"319"	0	0	2.3	9	1	1	5.29	3	0	1	0	0	1	0	1	0	1	0	-1.37199747562408	8	0	1	0	0	0
"320"	0	0	5.4	5	1	1	29.16	1	1	0	0	1	1	1	2	0	1	0	0.481876999139786	10	0	1	0	0	0
"321"	0	0	2.9	6	1	1	8.41	3	0	1	0	0	1	1	3	0	1	0	1.77481877803802	1	0	1	0	0	0
"322"	1	1	2.1	5	2	1	4.41	2	0	0	0	1	1	1	2	0	1	0	-0.416981279850006	10	0	1	0	0	0
"324"	0	1	6.9	2	1	1	47.61	3	1	0	0	0	1	1	3	0	1	0	-2.19520616531372	11	0	1	0	0	0
"325"	1	0	2	5	0	1	4	1	0	0	0	0	1	1	1	0	1	0	-0.416981279850006	11	0	1	0	0	0
"326"	1	1	2.7	3	1	1	7.29	3	0	1	0	0	1	1	4	0	1	0	-0.341331571340561	6	0	1	0	1	0
"327"	0	0	3.6	5	0	1	12.96	1	1	0	0	0	1	1	3	0	1	0	-1.24018979072571	6	0	1	0	0	0
"328"	1	1	2.8	7	1	0	7.84	2	0	0	0	0	0	1	4	0	1	0	1.57204031944275	1	0	1	0	0	0
"329"	0	0	4.1	3	0	1	16.81	1	1	0	0	0	1	1	3	0	1	0	0.481876999139786	7	0	1	0	0	0
"331"	1	1	4.8	3	3	1	23.04	4	1	1	0	0	1	1	4	0	1	0	0.748831808567047	1	0	1	0	1	0
"332"	0	1	2.4	4	1	1	5.76	2	1	0	0	1	1	1	1	0	1	0	1.57204031944275	11	0	1	0	1	0
"333"	1	0	6.3	1	1	1	39.69	2	1	0	0	1	1	1	1	0	1	0	0.481876999139786	6	0	1	0	0	0
"334"	0	0	4.6	5	2	1	21.16	3	1	1	0	0	1	1	2	0	1	0	-0.416981279850006	6	0	1	0	1	0
"335"	1	1	2.1	7	2	1	4.41	2	0	0	0	0	1	1	4	0	1	0	1.57204031944275	7	0	1	0	0	0
"336"	0	0	4.1	4	1	0	16.81	1	1	0	0	0	0	1	4	0	1	0	0.481876999139786	4	0	1	0	0	0
"337"	0	1	6.1	2	1	1	37.21	2	1	0	0	0	0	1	3	0	1	0	-1.37199747562408	6	0	1	0	0	0
"338"	1	1	4.3	3	2	1	18.49	1	1	0	0	1	1	1	4	0	1	0	-1.24018979072571	9	0	1	0	1	1
"339"	0	1	2.4	8	2	1	5.76	4	1	0	1	0	1	1	3	0	1	0	-0.416981279850006	1	0	1	0	1	0
"340"	1	1	3.6	5	1	1	12.96	1	1	0	0	1	1	1	1	0	1	0	1.57204031944275	11	0	1	0	0	0
"341"	0	1	2.4	3	1	1	5.76	2	0	0	1	0	0	1	4	0	1	0	1.57204031944275	5	0	1	0	0	0
"342"	1	0	5.2	5	1	1	27.04	4	1	0	0	1	1	1	2	0	1	0	2.67367696762085	8	0	1	0	0	0
"343"	0	0	2.5	8	2	1	6.25	3	1	0	0	0	1	1	2	0	1	0	2.67367696762085	6	0	1	0	0	0
"344"	1	0	3.3	8	2	1	10.89	2	1	0	0	0	1	1	2	0	1	0	1.57204031944275	9	0	1	0	0	0
"345"	0	0	2.1	7	2	1	4.41	4	0	1	0	0	1	1	3	0	1	0	0.481876999139786	1	0	1	0	1	1
"346"	1	0	4.4	5	1	0	19.36	3	1	1	0	0	0	1	3	0	1	0	1.57204031944275	6	0	1	0	0	0
"347"	1	1	5.5	7	2	1	30.25	2	1	0	0	0	1	1	3	0	1	0	1.57204031944275	7	0	1	0	0	0
"348"	0	1	3.8	9	2	1	14.44	3	1	0	0	1	1	1	2	0	1	0	1.57204031944275	9	0	1	0	1	0
"349"	1	1	7	1	1	1	49	2	0	1	0	0	1	1	3	0	1	0	-1.37199747562408	1	0	1	0	1	0
"350"	0	0	4.4	3	1	1	19.36	2	1	1	0	0	1	1	4	0	1	0	0.67318207025528	1	0	1	0	1	0
"351"	0	0	3.7	5	1	1	13.69	3	1	0	0	1	1	1	1	0	1	0	-1.37199747562408	11	0	1	0	1	0
"352"	0	0	2.9	7	1	1	8.41	2	1	0	0	1	1	1	3	0	1	0	-0.416981279850006	11	1	1	0	1	0
"353"	1	0	7.2	5	1	1	51.84	2	0	0	0	1	1	1	2	0	1	0	0.481876999139786	11	0	1	0	1	0
"354"	0	0	2.2	4	1	1	4.84	3	0	0	0	1	1	1	1	0	1	0	-0.416981279850006	11	0	1	0	0	0
"355"	0	1	2	5	1	1	4	3	0	0	0	1	1	1	1	0	1	0	-0.416981279850006	11	0	1	0	1	0
"356"	1	0	3.2	5	1	1	10.24	2	1	0	1	0	1	1	4	0	1	0	-0.416981279850006	1	0	1	0	0	0
"357"	0	0	3.1	3	1	1	9.61	2	1	0	1	0	1	1	3	0	1	0	0.674368739128113	1	0	1	0	1	0
"358"	1	1	2.3	3	1	1	5.29	2	1	0	0	1	1	1	1	0	1	0	-0.416981279850006	11	0	1	0	1	0
"359"	0	1	4.7	3	1	1	22.09	1	1	0	1	0	1	1	4	0	1	0	-0.416981279850006	1	0	1	0	1	0
"360"	1	0	2.4	3	1	1	5.76	4	0	0	1	0	1	1	4	0	1	0	0.67318207025528	1	0	1	0	0	0
"361"	0	0	2.1	5	1	1	4.41	3	0	1	0	0	1	1	4	0	1	0	-0.416981279850006	3	0	1	0	1	0
"362"	1	0	5.4	5	1	1	29.16	1	1	0	0	1	1	1	2	0	1	0	0.481876999139786	11	0	1	0	1	0
"363"	0	1	4	3	1	1	16	4	1	0	0	1	1	1	1	0	1	0	-0.416981279850006	11	0	1	0	1	0
"365"	1	1	4.3	9	2	1	18.49	2	1	0	0	1	1	1	2	0	1	0	2.67367696762085	11	1	1	0	1	0
"366"	1	1	1.9	5	3	0	3.61	3	0	0	1	0	0	1	2	0	1	0	0.617024123668671	6	0	1	0	1	1
"367"	0	1	2.7	4	1	0	7.29	2	0	0	0	1	0	1	3	0	1	0	1.57204031944275	3	0	1	0	1	0
"368"	1	1	7.1	5	2	1	50.41	2	1	0	0	1	0	1	2	0	1	0	0.481876999139786	6	1	1	0	0	0
"369"	0	1	5.5	5	1	1	30.25	3	1	0	0	1	1	1	2	0	1	0	1.57204031944275	11	0	1	0	1	0
"370"	1	0	4.5	7	2	1	20.25	3	1	0	0	0	1	1	4	0	1	0	-0.416981279850006	7	0	1	0	0	0
"371"	0	1	2.2	6	2	0	4.84	2	0	0	0	0	0	1	4	0	1	0	-0.416981279850006	6	0	1	0	0	0
"372"	1	1	4.7	5	2	0	22.09	3	1	1	0	0	0	1	3	0	1	0	2.67367696762085	6	0	1	0	1	0
"373"	0	1	5	3	2	1	25	3	1	0	0	1	1	1	2	0	1	0	-1.24018979072571	11	0	1	0	1	0
"374"	0	0	2	5	2	0	4	2	0	1	0	0	0	1	0	0	1	0	-1.29634773731232	6	0	1	1	0	0
"375"	1	0	7.1	1	1	1	50.41	2	0	0	0	1	1	1	2	0	1	0	0.481876999139786	7	0	1	0	1	0
"376"	0	1	3.3	5	1	1	10.89	3	1	0	0	1	1	1	2	0	1	0	-0.341331571340561	9	0	1	0	1	0
"378"	0	0	6.2	2	1	1	38.44	2	0	0	0	0	0	1	1	0	1	0	-2.19520616531372	10	0	1	0	0	0
"379"	1	0	4.7	7	3	1	22.09	3	1	0	0	0	1	1	2	0	1	0	2.67367696762085	8	0	1	0	0	0
"380"	0	0	4.9	4	1	0	24.01	1	1	0	0	0	0	1	4	0	1	0	-1.24018979072571	2	0	1	0	0	0
"381"	1	1	5.8	2	2	1	33.64	2	1	0	0	1	1	1	1	0	1	0	-0.341331571340561	11	0	1	0	1	0
"382"	0	1	6.6	2	3	1	43.56	3	1	0	0	1	1	1	1	0	1	0	1.57204031944275	11	0	1	0	1	0
"383"	1	0	5.4	3	3	1	29.16	3	0	0	0	1	1	1	2	0	1	0	-0.416981279850006	6	1	1	0	1	0
"384"	0	0	4.7	7	3	1	22.09	4	1	0	0	1	1	1	2	0	1	0	1.57204031944275	11	1	1	0	1	0
"385"	1	1	2.3	7	2	1	5.29	1	0	0	1	0	1	1	2	0	1	0	-0.416981279850006	8	0	1	0	0	0
"386"	1	0	5.2	2	0	1	27.04	3	0	0	0	1	1	1	1	0	1	0	-0.473139226436615	11	0	1	0	0	0
"387"	0	0	3.7	3	1	1	13.69	2	1	0	0	0	0	1	0	0	1	0	0.748831808567047	9	0	1	1	0	0
"389"	0	1	3.6	3	3	1	12.96	2	1	1	0	0	1	1	3	0	1	0	-0.416981279850006	7	0	1	0	0	0
"390"	0	0	2.8	5	1	1	7.84	2	0	1	0	0	1	1	2	0	1	0	-0.341331571340561	8	0	1	0	0	0
"391"	1	1	3	7	1	0	9	1	0	0	0	0	0	1	3	0	1	0	1.57204031944275	6	0	1	0	0	0
"392"	1	0	2.4	7	1	1	5.76	1	0	1	0	0	1	0	2	0	1	0	-1.24018979072571	9	0	1	0	0	0
"393"	0	0	2.4	5	2	1	5.76	3	1	0	0	1	1	1	1	0	1	0	-1.24018979072571	11	0	1	0	0	1
"394"	1	1	2.9	7	4	1	8.41	3	0	0	0	1	1	1	2	0	1	0	-0.416981279850006	10	1	1	0	0	1
"395"	0	1	2.6	3	2	1	6.76	2	1	0	0	1	1	1	2	0	1	0	-1.24018979072571	10	1	1	0	0	0
"396"	1	1	3.5	5	0	1	12.25	2	0	0	0	0	1	1	2	0	1	0	-0.416981279850006	9	0	1	0	0	0
"397"	0	1	3.9	4	3	1	15.21	2	1	0	0	0	1	1	4	0	1	0	1.57204031944275	7	1	1	0	0	0
"398"	0	0	5.4	3	2	1	29.16	2	0	0	1	0	0	0	2	0	0	0	-1.24018979072571	7	0	0	0	0	0
"399"	1	0	2.7	9	3	1	7.29	3	0	0	1	0	1	0	4	0	0	0	0.67318207025528	1	0	0	0	0	1
"400"	1	1	1.9	8	2	1	3.61	3	0	0	0	1	0	0	2	0	0	0	0.481876999139786	11	0	0	0	1	0
"401"	1	0	3.8	5	0	1	14.44	3	0	0	0	1	1	0	2	0	0	0	-0.416981279850006	11	0	0	0	1	0
"402"	1	1	2	4	0	0	4	2	0	0	0	1	0	0	0	0	0	0	-0.416981279850006	9	0	0	1	0	0
"403"	0	0	4.6	5	2	0	21.16	2	0	0	0	1	0	0	3	0	0	0	-1.37199747562408	11	0	0	0	0	0
"405"	0	0	4	2	2	1	16	2	1	0	0	0	0	0	0	0	0	0	-0.416981279850006	11	0	0	1	0	0
"406"	0	1	3.8	5	2	1	14.44	2	1	0	0	0	1	0	3	0	0	0	-2.19520616531372	7	0	0	0	0	1
"408"	1	0	2.6	5	2	1	6.76	2	0	0	0	0	1	0	3	0	0	0	-0.416981279850006	4	0	0	0	0	0
"409"	0	0	2.7	3	1	1	7.29	3	1	0	1	0	1	0	3	0	0	0	-1.37199747562408	8	0	0	0	0	0
"413"	0	1	2.7	4	1	0	7.29	2	1	0	0	1	0	1	0	0	0	0	-0.416981279850006	5	0	0	1	0	0
"415"	1	0	4.6	2	3	1	21.16	1	1	0	0	1	1	1	2	0	0	0	-2.19520616531372	4	1	0	0	0	0
"417"	1	0	2.8	3	3	1	7.84	1	1	0	0	1	0	1	3	0	0	0	4.06259870529175	8	0	0	0	0	0
"418"	0	0	2.9	5	2	0	8.41	3	1	0	1	0	0	1	3	0	0	0	-0.416981279850006	6	1	0	0	0	0
"419"	1	0	4.3	7	1	1	18.49	2	1	0	1	0	1	1	2	0	0	0	-0.416981279850006	6	0	0	0	0	0
"420"	0	1	2.7	7	1	0	7.29	3	0	0	1	0	0	1	3	0	0	0	0.481876999139786	4	0	0	0	1	0
"421"	1	0	3.9	7	0	0	15.21	1	0	0	0	1	0	1	3	0	0	0	-1.37199747562408	8	0	0	0	0	1
"422"	0	1	6.8	5	3	0	46.24	4	0	0	0	1	0	1	1	0	0	0	0.481876999139786	11	0	0	0	1	0
"424"	1	1	2.1	2	1	1	4.41	1	1	0	0	0	1	0	4	0	0	0	-1.37199747562408	9	0	0	0	0	0
"425"	0	0	5	3	2	1	25	1	1	0	0	0	1	0	4	0	0	0	-2.19520616531372	9	1	0	0	0	0
"426"	1	0	7.1	3	2	1	50.41	4	1	0	1	0	1	0	4	0	0	0	-2.00271439552307	11	0	0	0	1	0
"428"	1	0	6.4	2	0	1	40.96	1	1	0	0	1	1	0	3	0	0	0	1.57204031944275	11	0	0	0	1	0
"430"	1	1	5.8	3	2	1	33.64	1	0	0	0	1	0	1	3	0	0	0	-1.24018979072571	10	0	0	0	1	0
"432"	1	0	5.2	2	1	1	27.04	2	0	1	0	0	1	0	3	0	0	0	-0.416981279850006	5	1	0	0	0	0
"433"	0	0	6	2	1	1	36	4	1	0	0	1	0	0	3	0	0	0	0.481876999139786	11	0	0	0	1	0
"435"	0	1	8.2	2	2	1	67.24	3	1	1	0	0	0	0	1	0	0	0	2.07357692718506	9	0	0	0	0	0
"436"	1	0	4.9	5	1	1	24.01	4	1	1	0	0	0	0	1	0	0	0	-0.416981279850006	10	0	0	0	0	0
"440"	1	0	3.5	4	1	1	12.25	2	1	1	0	0	0	0	3	0	0	0	-0.341331571340561	8	0	0	0	1	0
"441"	0	1	2.8	8	1	1	7.84	2	0	0	0	1	0	0	4	0	0	0	0.481876999139786	6	0	0	0	1	0
"442"	0	1	4.5	5	3	1	20.25	2	0	0	1	0	1	1	0	0	1	0	-1.37199747562408	9	0	0	1	1	0
"443"	1	0	3.5	3	1	0	12.25	1	1	0	0	1	0	1	1	0	1	0	-1.37199747562408	4	0	0	0	1	0
"445"	1	1	6.3	5	3	1	39.69	2	1	0	0	1	1	1	2	0	1	0	0.481876999139786	9	0	0	0	0	0
"446"	0	0	1.8	5	1	1	3.24	2	0	0	0	1	1	1	2	0	1	0	-1.24018979072571	8	0	0	0	0	0
"447"	1	0	6.1	1	2	1	37.21	1	1	0	0	1	1	1	0	0	1	0	-0.416981279850006	6	0	0	1	1	0
"449"	1	0	3	5	3	1	9	1	1	0	0	1	0	1	1	0	1	0	1.57204031944275	9	0	0	0	0	0
"450"	0	0	4.3	5	2	1	18.49	2	0	0	0	0	1	1	4	0	1	0	-1.24018979072571	8	0	0	0	0	0
"451"	1	1	3	5	1	1	9	2	1	0	0	0	1	1	2	0	1	0	-0.341331571340561	8	0	0	0	0	0
"452"	0	1	2.2	7	1	1	4.84	2	1	1	0	0	1	1	4	0	1	0	1.58351361751556	8	0	0	0	1	0
"453"	1	1	4	5	3	1	16	2	1	1	0	0	0	1	1	0	1	0	-1.37199747562408	11	1	0	0	0	0
"454"	0	1	6.9	2	2	1	47.61	4	1	0	1	0	1	1	1	0	1	0	-0.416981279850006	8	0	0	0	0	0
"455"	1	1	3.9	5	1	1	15.21	1	0	0	0	1	1	1	1	0	1	0	2.97243523597717	9	0	0	0	1	0
"456"	0	1	4.1	5	2	1	16.81	4	0	0	0	1	1	1	1	0	1	0	-0.341331571340561	11	0	0	0	1	0
"457"	1	0	3.4	4	1	1	11.56	2	0	0	1	0	1	1	4	1	0	0	-1.24018979072571	1	1	0	0	1	0
"460"	1	1	3.3	5	2	1	10.89	2	1	1	0	0	1	1	4	1	0	0	0.481876999139786	7	0	0	0	0	0
"461"	0	0	2.6	5	1	0	6.76	1	1	0	0	1	0	1	2	1	0	0	-0.416981279850006	6	0	0	0	0	0
"462"	1	0	4	3	0	0	16	2	0	0	1	0	0	1	4	1	0	0	-2.19520616531372	9	0	0	0	1	0
"463"	0	0	3.6	4	3	0	12.96	2	0	0	0	0	0	1	3	1	0	0	-0.416981279850006	8	0	0	0	0	0
"464"	1	0	1.9	7	2	1	3.61	4	0	0	0	0	1	1	4	1	0	0	0.748831808567047	6	0	0	0	0	0
"465"	0	0	2.6	5	2	1	6.76	2	0	0	1	0	1	1	4	1	0	0	-2.19520616531372	4	0	0	0	0	0
"466"	1	1	7	2	0	1	49	2	0	0	1	0	1	1	4	1	0	0	0.481876999139786	1	0	0	0	1	0
"467"	0	0	2.2	7	1	0	4.84	3	0	0	0	0	0	1	3	1	0	0	-0.341331571340561	4	0	0	0	0	0
"469"	1	0	4.1	5	1	1	16.81	2	1	0	0	1	1	1	2	1	0	0	-2.19520616531372	9	0	0	0	0	0
"470"	0	0	3.1	9	2	1	9.61	3	0	0	0	1	1	1	2	1	0	0	2.67367696762085	9	0	0	0	0	0
"471"	0	1	1.9	8	2	0	3.61	4	0	0	0	0	0	1	3	1	0	0	-0.473139226436615	6	0	0	0	0	0
"472"	1	1	1.9	3	1	1	3.61	3	0	0	0	1	0	1	2	1	0	0	-1.24018979072571	10	0	0	0	0	0
"473"	0	1	2.6	6	1	1	6.76	2	0	0	1	0	1	1	4	1	0	0	2.67367696762085	1	0	0	0	0	1
"475"	0	1	2.1	6	2	1	4.41	3	0	0	0	0	0	1	2	1	0	0	0.481876999139786	5	0	0	0	0	0
"476"	1	0	3.7	7	3	1	13.69	2	1	0	1	0	1	1	4	1	0	0	1.58351361751556	4	1	0	0	0	0
"477"	0	1	4.5	5	2	1	20.25	3	0	0	0	0	0	1	3	1	0	0	1.57204031944275	6	0	0	0	0	0
"478"	1	1	8.1	3	2	1	65.61	2	1	0	1	0	1	1	3	1	0	0	-0.416981279850006	3	0	0	0	1	0
"479"	0	1	6.2	9	2	1	38.44	3	1	0	0	1	0	1	2	1	0	0	2.67367696762085	9	0	0	0	0	0
"480"	1	1	2.8	7	2	0	7.84	3	0	0	0	0	0	1	3	1	0	0	0.481876999139786	4	0	0	0	0	0
"481"	0	0	3.3	7	2	1	10.89	2	0	0	0	0	0	1	2	1	0	0	1.57204031944275	6	0	0	0	0	0
"482"	0	1	2.6	8	2	1	6.76	3	0	0	1	0	0	1	4	1	0	0	1.57204031944275	6	0	0	0	1	0
"483"	1	0	3.2	7	2	1	10.24	2	1	0	0	0	1	1	2	1	0	0	-0.416981279850006	9	0	0	0	0	0
"484"	0	0	4	5	2	1	16	3	1	0	0	0	1	1	4	1	0	0	2.67367696762085	6	0	0	0	0	0
"485"	1	0	1.9	6	2	0	3.61	3	0	0	0	0	0	1	3	1	0	0	2.67367696762085	5	0	0	0	0	0
"486"	0	0	7.3	3	2	1	53.29	3	1	0	1	0	0	1	4	1	0	0	0.481876999139786	5	0	0	0	1	0
"487"	1	1	3.6	9	3	1	12.96	4	0	0	1	0	1	1	3	1	0	0	2.67367696762085	9	0	0	0	0	0
"488"	0	0	3	3	2	1	9	4	0	0	0	1	1	1	1	1	0	0	-1.24018979072571	10	0	0	0	0	0
"489"	1	0	2.5	3	3	1	6.25	3	1	0	0	1	1	1	1	1	0	0	-1.24018979072571	11	0	0	0	0	0
"490"	0	1	2.3	6	2	0	5.29	2	0	1	0	0	0	1	2	1	0	0	-0.206184417009354	9	0	0	0	0	0
"491"	0	0	5.5	7	1	1	30.25	2	1	0	0	1	1	1	1	1	0	0	2.67367696762085	10	0	0	0	1	0
"492"	1	1	8.3	9	2	1	68.89	1	1	0	1	0	1	1	4	1	0	0	2.67367696762085	7	0	0	0	1	0
"493"	1	0	6.8	9	4	1	46.24	4	0	0	1	0	0	1	4	1	0	0	2.67367696762085	1	0	0	0	1	0
"494"	0	0	7.1	9	1	1	50.41	3	0	0	1	0	1	1	4	1	0	0	2.67367696762085	1	0	0	0	1	0
"495"	0	1	4.2	5	1	1	17.64	3	1	0	0	0	0	1	3	1	0	0	0.481876999139786	8	0	0	0	0	0
"496"	1	0	7.6	7	4	1	57.76	4	0	0	0	1	0	1	1	1	0	0	2.67367696762085	11	0	0	0	1	0
